Number,Name,Tags,Bold,Notes
315,Count of Smaller Numbers After Self,dc,F,[Explanation](https://leetcode.com/problems/count-of-smaller-numbers-after-self/discuss/445769/merge-sort-CLEAR-simple-EXPLANATION-with-EXAMPLES-O(n-lg-n))
318,Maximum Product of Word Lengths,bit,T,[Bit Mask Solution with Explanation](https://leetcode.com/problems/maximum-product-of-word-lengths/discuss/1212054/Java-beats-100-with-Explanation)
322,Coin Change,dp,T,"the idea of dp array is actually something like 0-1 knapsack, bellman equation: `dp[i] = Math.min(dp[i], dp[prev] + 1);`"
328,Odd Even Linked List,linked-list,T,
337,House Robber III,tree,T,"[Solution with Explanation](https://leetcode.com/problems/house-robber-iii/discuss/79330/Step-by-step-tackling-of-the-problem), DP memorization? or bottom to up backtrace?"
344,Reverse String,pointers,T,
345,Reverse Vowels of a String,pointers,T,
354,Russian Doll Envelopes,binary-search,T,"[Solution with Explanation](https://leetcode.com/problems/russian-doll-envelopes/discuss/82763/Java-NLogN-Solution-with-Explanation), <br> Similar to 300. Longest Increasing Subsequence"
376,Wiggle Subsequence,dp,F,Bellman Equations: `up = down + 1` or `down = up + 1 `
387,First Unique Character in a String,string,F,
392,Is Subsequence,greedy,T,
404,Sum of Left Leaves,tree,T,
406,Queue Reconstruction by Height,dp,T,"[Explanation](https://leetcode.com/problems/queue-reconstruction-by-height/discuss/2211641/Visual-Explanation-or-JAVA-Greedy), Sort by height decending, then sort by k ascending"
409,Longest Palindrome,string,T,odd or even char
413,Arithmetic Slices,dp,T,[Explained](https://leetcode.com/problems/arithmetic-slices/discuss/1814356/Java-or-3-liner-or-Explained)
424,Longest Repeating Character Replacement,sliding-window,F,[Explanation](https://leetcode.com/problems/longest-repeating-character-replacement/discuss/91271/Java-12-lines-O(n)-sliding-window-solution-with-explanation)
435,Non-overlapping Intervals,greedy,T,
437,Path Sum III,tree,T,dfs
443,String Compression,string,F,two pointers
445,Add Two Numbers II,linked-list,T,stack
446,Arithmetic Slices II - Subsequence,dp,T,[Graphical Explanation](https://leetcode.com/problems/arithmetic-slices-ii-subsequence/discuss/1455658/C%2B%2BJavaPython-DP-with-Picture-explained-Clean-and-Concisev)， hashmap
452,Minimum Number of Arrows to Burst Balloons,greedy,T,
455,Assign Cookies,greedy,T,
462,Minimum Moves to Equal Array Elements II,math,T,median
473,Matchsticks to Square,backtrace,F,
474,Ones and Zeroes,dp,T,"[Explained](https://leetcode.com/problems/ones-and-zeroes/discuss/1138589/Short-and-Easy-w-Explanation-or-O(L*m*n)-DP-solution-(6-lines)-similar-to-knapsack), like 0-1 knapsack, bellman equation: `dp[i][j] = Math.max(dp[i][j], dp[i-zeroes][j-ones] + 1);`"
501,Find Mode in Binary Search Tree,bst,T,
503,Next Greater Element II,stack,T,"This question is tricky because it's a `circular array` "
509,Fibonacci Number,math,T,fibonacci number
524,Longest Word in Dictionary through Deleting,pointers,T,
530,Minimum Absolute Difference in BST,bst,T,In-order traversal
538,Convert BST to Greater Tree,bst,T,
541,Reverse String II,pointers,T,
543,Diameter of Binary Tree,tree,T,
557,Reverse Words in a String III,pointers,T,
560,Subarray Sum Equals K,hash,T,"[Detailed Explanation](https://leetcode.com/problems/subarray-sum-equals-k/discuss/803317/Java-Solution-with-Detailed-Explanation), use hashset to record previous occurrence of keys to reduce time complexity"
572,Subtree of Another Tree,tree,T,
576,Out of Boundary Paths,dp,F,use dp array to record various ways that each location could be reached
583,Delete Operation for Two Strings,dp,T,"1. find the longest common subsequence (1143), use two words' length minus it <br> 2. edit distance"
594,Longest Harmonious Subsequence,hash,T,subsequence is not consecutive
605,Can Place Flowers,pq,T,
617,Merge Two Binary Trees,tree,T,
629,K Inverse Pairs Array,dp,F,
630,Course Schedule III,pq,F,greedy sort + pq
633,Sum of Square Numbers,pointers,T,
647,Palindromic Substrings,dp,T,
653,Two Sum IV - Input is a BST,bst,T,[Three Approaches with Explanation](https://leetcode.com/problems/two-sum-iv-input-is-a-bst/discuss/106059/JavaC%2B%2B-Three-simple-methods-choose-one-you-like)
665,Non-decreasing Array,dp,T,[Explanation](https://leetcode.com/problems/non-decreasing-array/discuss/2193070/C%2B%2B-oror-Simple-Code-oror-Full-Explanation)
669,Trim a Binary Search Tree,bst,T,
671,Second Minimum Node In a Binary Tree,tree,F,This questions refers to a special tree that each node has exactly `two` or `zero` sub-node.
677,Map Sum Pairs,trie,T,
680,Valid Palindrome II,pointers,T,Two pointers from head and end
682,Baseball Game,stack,F,
684,Redundant Connection,graph,T,Classical Union and Find
687,Longest Univalue Path,tree,T,
695,Max Area of Island,graph,F,dfs
724,Find Pivot Index,math,T,
725,Split Linked List in Parts,linked-list,T,
739,Daily Temperatures,stack,T,monotonic stack
745,Prefix and Suffix Search,trie,T,"Since `{` is next to `z` in ASCII table, we use `{` to seperate suffix and prefix. For word `apple`, we are going to insert: `apple{apple, pple{apple, ple{apple, le{apple, e{apple, {apple`. This allow us to search `suffix + { + prefix` in the trie."
746,Min Cost Climbing Stairs,dp,F,
763,Partition Labels,greedy,T,
785,Is Graph Bipartite?,graph,T,"graph coloring, dfs"
792,Number of Matching Subsequences,hash,F,use start of each word as map key
814,Binary Tree Pruning,tree,F,
820,Short Encoding of Words,hash,F,hashset / trie
867,Transpose Matrix,others,F,
890,Find and Replace Pattern,string,F,normalize string with chars' location + 1
916,Word Subsets,string,F,
968,Binary Tree Cameras (Hard),dp,T,"[Explanation](https://leetcode.com/problems/binary-tree-cameras/discuss/211180/JavaC%2B%2BPython-Greedy-DFS), greedy + dfs search + binary tree"
1046,Last Stone Weight,pq,F,
1048,Longest String Chain,dp,T,[Explanation Solution](https://leetcode.com/problems/longest-string-chain/discuss/2153004/Explaining-Three-Approaches-or-JAVA)
1074,Number of Submatrices That Sum to Target,hash,T,"[Detailed Explanation](https://leetcode.com/problems/number-of-submatrices-that-sum-to-target/discuss/803353/Java-Solution-with-Detailed-Explanation), 3D version of 560"
1143,Longest Common Subsequence,dp,T,[Video Explanation](https://www.youtube.com/watch?v=NnD96abizww)
1192,Critical Connections in a Network,graph,T,Tarjan's Algorithm
1268,Search Suggestions System,trie,F,"could also be solved by binary search, [link](https://leetcode.com/problems/search-suggestions-system/discuss/1894633/Java-or-Binary-Search-or-Very-Easy-with-Explanation)"
1277,Count Square Submatrices with All Ones,dp,T,"[Graphical Explanation](https://leetcode.com/problems/count-square-submatrices-with-all-ones/discuss/441620/DP-with-figure-explanation), Time: O(mn) <br> Space: O(mn)"
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,dp,T,"dp, prefix-sum, sliding window track"
1332,Remove Palindromic Subsequences,dp,F,"[Solution with Explanation](https://leetcode.com/problems/remove-palindromic-subsequences/discuss/490303/JavaC%2B%2BPython-Maximum-2-Operations), Two-Pointers <br> Subarray vs Subsequence: Subarray need to be consecutive, Subsequence don't have to be consecutive."
1342,Number of Steps to Reduce a Number to Zero,bit,T,
1354,Construct Target Array With Multiple Sums,pq,F,"[Graphical Explanation](https://leetcode.com/problems/construct-target-array-with-multiple-sums/discuss/2189445/Visual-Explanation-or-JAVA-Max-Heap), backtrace with pq"
1360,Number of Days Between Two Dates,string,F,leap year satisfy: y % 400 == 0 or y % 4 == 0 && y % 100 != 0
1423,Maximum Points You Can Obtain from Cards,sliding-window,T,[Visualization](https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/discuss/597825/Simple-Clean-Intuitive-Explanation-with-Visualization)
1446," Consecutive Characters",string,F,
1448,Count Good Nodes in Binary Tree,tree,F,dfs
1461,Check If a String Contains All Binary Codes of Size K,sliding-window,T,hashset
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,others,F,
1472,Design Browser History,stack,F,"two stacks, one record past, another one for future"
1473,Paint House III,dp,F,
1480,Running Sum of 1d Array,others,F,prefix-sum
1630,Arithmetic Subarrays,hash,F,
1642,Furthest Building You Can Reach,pq,T,"[Solution with Explanation](https://leetcode.com/problems/furthest-building-you-can-reach/discuss/918515/JavaC%2B%2BPython-Priority-Queue), use pq to record height difference"
1647,Minimum Deletions to Make Character Frequencies Unique,greedy,T,"check if current freq has been used, if so, delete until find empty freq"
